customer_id,loan_category,loan_amount,interest_rate,tenure_months,employment_type,annual_income,credit_score,existing_loans,age,monthly_obligations,emi_to_income_ratio,loan_to_income_ratio,Defaulter
CUST_000080,Mortgage,66000,7.2,18,Freelancer,200000,696,2,39,16770,0.22,0.33,0
CUST_000081,Business Expansion,661000,10.08,60,Private Sector,200000,631,1,21,22014,0.661,3.305,0
CUST_000082,Vehicle,411000,11.46,24,Government,200000,701,0,44,23896,1.0275,2.055,0
CUST_000083,Vehicle,153000,7.82,24,Freelancer,365074.82,630,3,57,20854,0.2095,0.4191,0
CUST_000084,Credit Card,293000,7.43,60,Private Sector,200000,604,1,23,5263,0.293,1.465,0
CUST_000085,Mortgage,415000,9.27,24,Private Sector,200000,489,1,57,10508,1.0375,2.075,0
CUST_000086,Mortgage,451000,7.21,6,Freelancer,200000,832,0,29,927,4.51,2.255,0
CUST_000087,Vehicle,391000,7.6,180,Government,200000,555,0,21,8220,0.1303,1.955,0
CUST_000088,Vehicle,213000,6.76,180,Private Sector,213745.92,658,2,23,7173,0.0664,0.9965,0
CUST_000089,Vehicle,233000,13.28,240,Government,200000,609,3,43,23273,0.0582,1.165,0
CUST_000090,Vehicle,413000,7.42,240,Freelancer,200000,665,1,53,2613,0.1032,2.065,0
CUST_000091,Vehicle,537000,9.23,36,Freelancer,242589.87,628,0,21,3856,0.7379,2.2136,0
CUST_000092,Vehicle,552000,6.92,6,Business Owner,200000,588,1,23,8139,5.52,2.76,0
CUST_000093,Medical,829000,6.75,180,Freelancer,200000,608,1,31,24186,0.2763,4.145,0
CUST_000094,Medical,529000,12.08,24,Freelancer,200000,630,1,54,17777,1.3225,2.645,0
CUST_000095,Credit Card,84000,13,180,Business Owner,200000,664,2,49,7943,0.028,0.42,0
CUST_000096,Vehicle,558000,10.64,24,Freelancer,200000,727,1,45,4940,1.395,2.79,0
CUST_000097,Vehicle,485000,11.56,240,Freelancer,200000,662,1,51,1288,0.1212,2.425,0
CUST_000098,Medical,71000,7.45,240,Private Sector,200000,728,1,49,22517,0.0177,0.355,0
CUST_000099,Mortgage,289000,16.51,180,Business Owner,200000,628,1,37,16048,0.0963,1.445,1
CUST_000100,Medical,664000,14.63,84,,200000,692,1,49,12570,0.4743,3.32,0
CUST_000101,Mortgage,346000,10.05,84,Private Sector,200000,822,0,48,,0.2471,1.73,1
CUST_000102,Mortgage,318000,9.19,12,Private Sector,200000,704,1,37,7422,1.59,1.59,0
CUST_000103,Business Expansion,708000,16.18,84,Private Sector,200000,658,1,30,3428,0.5057,3.54,0
CUST_000104,Vehicle,371000,10.09,6,Private Sector,200000,848,1,23,855,3.71,1.855,0
CUST_000105,Vehicle,685000,4.01,120,Private Sector,200000,694,0,21,10489,0.3425,3.425,0
CUST_000106,Education Loan,543000,8.05,240,,200000,623,0,47,15974,0.1357,2.715,0
CUST_000107,Education Loan,168000,13.74,6,Private Sector,200000,643,2,31,12349,1.68,0.84,0
CUST_000108,Vehicle,245000,12.53,18,Unemployed,,,0,44,10822,0.8167,1.225,0
CUST_000109,Vehicle,100000,12.74,36,Freelancer,252464.21,662,1,35,14598,0.132,0.3961,0
CUST_000110,Mortgage,779000,13.21,60,Private Sector,200000,631,0,42,21499,0.779,3.895,0
CUST_000111,Credit Card,416000,11.19,24,Unemployed,241872.55,568,1,24,22773,0.86,1.7199,0
CUST_000112,Business Expansion,267000,15.12,120,Government,200000,687,0,21,11301,0.1335,1.335,1
CUST_000113,Credit Card,625000,7.46,24,Private Sector,200000,667,0,28,18070,1.5625,3.125,0
CUST_000114,Vehicle,559000,7.45,36,Private Sector,200000,634,1,54,9328,0.9317,2.795,0
CUST_000115,Medical,253000,4.27,84,Private Sector,265998.7,887,0,40,18472,0.1359,0.9511,0
CUST_000116,Mortgage,402000,13.14,60,Freelancer,200000,683,1,49,9173,0.402,2.01,0
CUST_000117,Mortgage,174000,12.08,60,Business Owner,200000,702,0,55,4766,0.174,0.87,0
CUST_000118,Vehicle,732000,7.35,24,Private Sector,200000,837,1,39,6748,1.83,3.66,0
CUST_000119,Education Loan,247000,10.45,6,Business Owner,200000,808,2,35,9119,2.47,1.235,1
CUST_000120,Vehicle,694000,11.28,24,Government,200000,651,0,57,12877,1.735,3.47,1
CUST_000121,Vehicle,587000,9.92,84,Government,200000,786,0,33,10096,0.4193,2.935,0
CUST_000122,Medical,790000,12.84,36,Private Sector,200000,785,0,47,20202,1.3167,3.95,0
CUST_000123,Credit Card,174000,14.92,180,Freelancer,200000,687,0,52,,0.058,0.87,0
CUST_000124,Vehicle,966000,11.69,12,Private Sector,200000,587,0,39,14577,4.83,4.83,0
CUST_000125,Medical,191000,11.38,180,Freelancer,223614.57,618,0,27,10612,0.0569,0.8541,0
CUST_000126,Mortgage,767000,10,12,Business Owner,200000,652,0,32,21457,3.835,3.835,0
CUST_000127,Mortgage,403000,12.03,12,Freelancer,200000,565,1,57,14837,2.015,2.015,0
CUST_000128,Mortgage,486000,11.12,24,Business Owner,200000,714,1,51,8195,1.215,2.43,0
CUST_000129,Vehicle,214000,4,120,Private Sector,200000,900,2,29,7903,0.107,1.07,0
CUST_000130,Education Loan,306000,10.14,120,Freelancer,200000,731,1,43,20493,0.153,1.53,0
CUST_000131,Mortgage,713000,12.99,12,,200000,755,3,61,2888,3.565,3.565,1
CUST_000132,Credit Card,847000,5.22,120,Business Owner,200000,672,2,33,24061,0.4235,4.235,0
CUST_000133,Vehicle,393000,8.86,36,Freelancer,200000,778,0,47,8659,0.655,1.965,0
CUST_000134,Credit Card,464000,7.49,18,Government,200000,592,1,23,,1.5467,2.32,0
CUST_000135,Mortgage,999000,14.69,36,Freelancer,200000,572,2,36,8898,1.665,4.995,0
CUST_000136,Education Loan,890000,6.61,180,Private Sector,200000,679,0,39,10943,0.2967,4.45,0
CUST_000137,Mortgage,861000,12.57,36,Unemployed,200000,846,2,21,4822,1.435,4.305,1
CUST_000138,Medical,634000,4.56,6,Private Sector,252919.46,760,1,45,19386,5.0135,2.5067,0
CUST_000139,Credit Card,921000,10.39,12,Government,216789.17,728,3,43,2815,4.2484,4.2484,0
CUST_000140,Education Loan,984000,14.26,120,Private Sector,200000,700,1,55,13506,0.492,4.92,0
CUST_000141,Medical,804000,10.25,180,Business Owner,200000,736,3,41,12227,0.268,4.02,0
CUST_000142,Vehicle,979000,13.45,60,Freelancer,200000,676,0,35,11895,0.979,4.895,0
CUST_000143,Mortgage,386000,11,18,Government,256174.41,690,0,22,17648,1.0045,1.5068,0
CUST_000144,Vehicle,1322000,19.13,6,Freelancer,295229.08,766,2,32,11711,8.9558,4.4779,1
CUST_000145,Medical,202000,13.15,84,,200000,737,0,21,16997,0.1443,1.01,0
CUST_000146,Vehicle,819000,11.36,120,Private Sector,200000,,1,42,20913,0.4095,4.095,0
CUST_000147,Mortgage,665000,7.62,240,Private Sector,200000,619,1,44,,0.1662,3.325,0
CUST_000148,Credit Card,606000,12.37,18,Private Sector,200000,680,1,25,5365,2.02,3.03,0
CUST_000149,Business Expansion,254000,10.74,24,Business Owner,200000,641,1,28,9278,0.635,1.27,1
CUST_000150,Vehicle,836000,9.23,84,Freelancer,242877.98,332,1,33,19262,0.4917,3.4421,1
CUST_000151,Medical,557000,13.99,36,Private Sector,200000,682,2,32,3466,0.9283,2.785,0
CUST_000152,Credit Card,355000,9.94,240,Private Sector,238848.02,597,2,34,5353,0.0743,1.4863,0
CUST_000153,Vehicle,932000,11.96,120,Private Sector,200000,627,3,40,18650,0.466,4.66,0
CUST_000154,Vehicle,762000,14.96,180,Private Sector,200000,779,0,39,21800,0.254,3.81,1
CUST_000155,Business Expansion,528000,10.95,24,Private Sector,200000,616,2,41,18323,1.32,2.64,0
CUST_000156,Mortgage,450000,14.16,240,Private Sector,200000,535,1,33,22118,0.1125,2.25,0
CUST_000157,Mortgage,829000,18.3,180,Private Sector,200000,768,1,28,22776,0.2763,4.145,0
CUST_000158,Business Expansion,198000,13.44,18,Private Sector,200000,619,0,27,2841,0.66,0.99,0
CUST_000159,Business Expansion,296000,4.83,6,Private Sector,200000,,1,47,16614,2.96,1.48,0
CUST_000160,Credit Card,880000,11.53,36,Private Sector,200000,731,1,44,11768,1.4667,4.4,0
CUST_000161,Medical,67000,7.59,36,Unemployed,200000,596,1,35,24283,0.1117,0.335,0
CUST_000162,Mortgage,628000,4,84,Business Owner,300718.72,613,0,31,17220,0.2983,2.0883,0
CUST_000163,Mortgage,452000,9.08,180,Government,200000,678,1,36,22285,0.1507,2.26,0
CUST_000164,Business Expansion,343000,11.62,24,Private Sector,200000,722,1,35,,0.8575,1.715,0
CUST_000165,Medical,456000,16.74,84,Business Owner,200000,733,0,41,21305,0.3257,2.28,0
CUST_000166,Medical,857000,9.03,60,Government,200000,669,0,43,15038,0.857,4.285,0
CUST_000167,Credit Card,850000,11.89,24,Private Sector,200000,692,1,42,10780,2.125,4.25,0
CUST_000168,Business Expansion,559000,15.92,180,Private Sector,200000,781,1,38,15324,0.1863,2.795,0
CUST_000169,Vehicle,146000,8.85,36,Private Sector,200000,671,0,36,9658,0.2433,0.73,0
CUST_000170,Medical,177000,8.58,12,Unemployed,,559,1,21,10716,0.885,0.885,1
CUST_000171,Mortgage,988000,10.34,60,Government,200000,675,1,44,9865,0.988,4.94,0
CUST_000172,Vehicle,172000,8.02,120,Private Sector,200000,574,0,34,23645,0.086,0.86,0
CUST_000173,Credit Card,924000,4,6,Private Sector,239349.6,793,0,45,5261,7.7209,3.8605,0
CUST_000174,Mortgage,687000,14.32,240,Private Sector,200000,724,1,44,2478,0.1717,3.435,0
CUST_000175,Medical,317000,17.66,6,Business Owner,200000,650,0,33,2028,3.17,1.585,1
CUST_000176,Education Loan,697000,10.39,240,Private Sector,200000,662,3,33,6117,0.1742,3.485,0
CUST_000177,Vehicle,756000,13.09,60,Private Sector,200000,835,0,27,6552,0.756,3.78,0
CUST_000178,Medical,298000,5.03,84,Private Sector,224728.36,612,2,28,14249,0.1894,1.326,0
CUST_000179,Medical,825000,16.72,84,Freelancer,200000,723,0,45,7807,0.5893,4.125,0
CUST_000180,Education Loan,894000,13.09,240,Business Owner,200000,765,0,31,,0.2235,4.47,0
CUST_000181,Medical,862000,7.05,240,Freelancer,200000,688,1,23,5397,0.2155,4.31,0
CUST_000182,Credit Card,587000,7.29,180,Business Owner,,659,3,40,13648,0.1957,2.935,0
CUST_000183,Medical,512000,11.36,6,Freelancer,200000,787,1,42,10269,5.12,2.56,1
CUST_000184,Vehicle,353000,12.2,240,Private Sector,200000,612,0,36,5534,0.0882,1.765,0
CUST_000185,Medical,1196000,9.03,240,Private Sector,272409.76,781,0,37,13172,0.2195,4.3904,0
CUST_000186,Mortgage,502000,17.03,60,Private Sector,200000,626,1,46,8801,0.502,2.51,0
CUST_000187,Education Loan,570000,14.01,6,Private Sector,200000,621,0,48,5647,5.7,2.85,0
CUST_000188,Education Loan,920000,14.33,240,Business Owner,200000,,0,30,18523,0.23,4.6,0
CUST_000189,Education Loan,146000,12.17,24,Private Sector,200000,780,0,43,7111,0.365,0.73,0
CUST_000190,Mortgage,854000,15.57,120,Government,200000,635,0,47,11555,0.427,4.27,0
CUST_000191,Mortgage,498000,9.49,18,Private Sector,200000,738,1,32,16471,1.66,2.49,0
CUST_000192,Business Expansion,120000,14.4,24,Private Sector,200000,656,2,39,2067,0.3,0.6,0
CUST_000193,Mortgage,552000,16.08,36,Freelancer,200000,499,2,24,22563,0.92,2.76,1
CUST_000194,Vehicle,594000,14,24,Private Sector,,699,0,25,22416,1.485,2.97,0
CUST_000195,Medical,799000,11.65,12,Government,200000,553,1,37,13631,3.995,3.995,0
CUST_000196,Vehicle,744000,8.49,60,Private Sector,200000,745,0,39,13159,0.744,3.72,0
CUST_000197,Credit Card,962000,10.88,84,Private Sector,200000,589,1,31,5316,0.6871,4.81,1
CUST_000198,Business Expansion,110000,6.94,24,Government,200000,725,0,45,11193,0.275,0.55,0
CUST_000199,Credit Card,1926000,5.97,120,Freelancer,456107.84,592,2,42,564,0.4223,4.2227,1
CUST_000200,Mortgage,258000,12.63,120,Private Sector,200000,617,0,27,18904,0.129,1.29,0
CUST_000201,Medical,567000,11.32,24,Government,200000,669,2,33,20321,1.4175,2.835,0
CUST_000202,Education Loan,649000,6.39,120,Private Sector,200000,557,0,33,22250,0.3245,3.245,0
CUST_000203,Credit Card,655000,11.65,60,Business Owner,200000,550,2,22,8113,0.655,3.275,1
CUST_000204,Mortgage,210000,15.62,36,Freelancer,200000,702,2,39,19656,0.35,1.05,0
CUST_000205,Education Loan,817000,10.8,120,Business Owner,200000,700,0,28,17539,0.4085,4.085,0
CUST_000206,Medical,741000,14.76,36,Private Sector,200000,613,0,21,13361,1.235,3.705,1
CUST_000207,Education Loan,874000,5.75,36,Government,200000,747,1,58,22721,1.4567,4.37,0
CUST_000208,Mortgage,699000,10.18,60,Private Sector,200000,801,3,37,1393,0.699,3.495,0
CUST_000209,Vehicle,624000,13.56,6,Government,200000,724,1,49,8624,6.24,3.12,0
CUST_000210,Medical,821000,14.28,120,Freelancer,263191.34,512,3,50,10221,0.3119,3.1194,0
CUST_000211,Vehicle,938000,11.4,84,Private Sector,200000,835,1,29,16819,0.67,4.69,0
CUST_000212,Mortgage,553000,8.52,60,Business Owner,200000,810,2,47,2586,0.553,2.765,0
CUST_000213,Mortgage,443000,13.64,18,Private Sector,200000,669,1,25,19791,1.4767,2.215,0
CUST_000214,Credit Card,335000,12.78,240,,200000,659,1,31,18929,0.0837,1.675,0
CUST_000215,Medical,463000,11.71,12,Private Sector,200000,675,0,21,11587,2.315,2.315,0
CUST_000216,Business Expansion,145000,6.23,120,Private Sector,269513.49,509,1,31,23339,0.0538,0.538,1
CUST_000217,Mortgage,551000,6.61,60,Private Sector,200000,769,2,34,11377,0.551,2.755,0
CUST_000218,Education Loan,227000,14.1,180,Private Sector,200000,722,1,32,20790,0.0757,1.135,0
CUST_000219,Vehicle,851000,8.84,120,Business Owner,202911.13,531,0,25,777,0.4194,4.194,0
CUST_000220,Medical,980000,16.18,180,Business Owner,200000,519,1,36,7511,0.3267,4.9,1
CUST_000221,Mortgage,323000,4.51,120,,200000,611,1,44,6895,0.1615,1.615,0
CUST_000222,Medical,392000,10.06,36,Unemployed,200000,539,1,55,22029,0.6533,1.96,0
CUST_000223,Credit Card,677000,9.46,60,Private Sector,277622.07,420,1,49,760,0.4877,2.4386,0
CUST_000224,Vehicle,696000,8.66,36,Private Sector,361711.82,664,0,25,9512,0.6414,1.9242,0
CUST_000225,Education Loan,997000,13.96,240,Private Sector,,607,2,49,10518,0.2492,4.985,0
CUST_000226,Education Loan,139000,10.95,12,Business Owner,200000,404,0,35,10124,0.695,0.695,0
CUST_000227,Medical,894000,6.55,24,Private Sector,200000,692,0,50,9660,2.235,4.47,0
CUST_000228,Credit Card,774000,17.58,240,Private Sector,200000,737,3,34,15050,0.1935,3.87,1
CUST_000229,Medical,427000,12.3,12,Private Sector,200000,765,1,40,,2.135,2.135,0
CUST_000230,Business Expansion,950000,12.26,84,Private Sector,,879,1,41,17431,0.6786,4.75,0
CUST_000231,Mortgage,380000,4.71,6,,292289.97,630,2,41,9271,2.6002,1.3001,1
CUST_000232,Mortgage,896000,6.8,36,Government,200000,775,0,47,23250,1.4933,4.48,0
CUST_000233,Medical,262000,17.71,180,Freelancer,200000,729,0,22,4227,0.0873,1.31,1
CUST_000234,Mortgage,419000,15.39,24,Freelancer,200000,724,0,22,4127,1.0475,2.095,0
CUST_000235,Medical,276000,5.42,6,Private Sector,200000,718,3,32,12032,2.76,1.38,0
CUST_000236,Medical,321000,11.8,120,Business Owner,200000,523,0,22,514,0.1605,1.605,0
CUST_000237,Mortgage,291000,11.74,120,Private Sector,200000,770,1,47,23539,0.1455,1.455,0
CUST_000238,Mortgage,1009000,11.67,60,Government,258191.73,795,1,31,7212,0.7816,3.9079,1
CUST_000239,Education Loan,344000,4,6,Freelancer,200000,772,1,30,8315,3.44,1.72,1
CUST_000240,Credit Card,896000,14.49,120,Business Owner,200000,670,0,37,22027,0.448,4.48,0
CUST_000241,Education Loan,630000,14.57,180,Private Sector,323029.96,784,3,49,8092,0.13,1.9503,1
CUST_000242,Medical,700000,4,24,Government,200000,623,2,45,11041,1.75,3.5,0
CUST_000243,Medical,963000,5.88,120,Unemployed,200000,650,3,31,21972,0.4815,4.815,0
CUST_000244,Medical,123000,5.6,12,Private Sector,200488.69,731,2,49,1174,0.6135,0.6135,0
CUST_000245,Mortgage,652000,7.94,36,Freelancer,200000,684,0,41,12535,1.0867,3.26,0
CUST_000246,Credit Card,306000,13.85,60,Private Sector,200000,729,2,28,20733,0.306,1.53,0
CUST_000247,Mortgage,459000,6.25,240,Freelancer,200000,,0,30,9236,0.1148,2.295,0
CUST_000248,Vehicle,963000,5.22,84,Unemployed,200000,669,1,34,8718,0.6879,4.815,1
CUST_000249,Credit Card,229000,13.26,60,Freelancer,200000,707,0,21,6078,0.229,1.145,0
CUST_000250,Medical,843000,4,120,Private Sector,200000,685,2,24,9214,0.4215,4.215,0
CUST_000251,Vehicle,358000,13.74,6,Business Owner,200000,674,1,46,19495,3.58,1.79,1
CUST_000252,Vehicle,523000,14.21,24,Government,200000,667,0,38,13690,1.3075,2.615,0
CUST_000253,Education Loan,177000,10.84,12,,200000,665,1,38,21699,0.885,0.885,0
CUST_000254,Business Expansion,599000,8.88,36,Business Owner,200000,637,1,34,10235,0.9983,2.995,0
CUST_000255,Mortgage,576000,11.46,12,,200000,674,0,41,24107,2.88,2.88,0
CUST_000256,Business Expansion,628000,14.31,180,Freelancer,212833.73,750,5,48,24852,0.1967,2.9507,0
CUST_000257,Vehicle,477000,10.71,24,Unemployed,200000,548,0,33,3350,1.1925,2.385,1
CUST_000258,Credit Card,391000,14.29,18,Government,200000,742,0,36,12690,1.3033,1.955,0
CUST_000259,Business Expansion,230000,16.23,12,Freelancer,200000,689,0,40,21268,1.15,1.15,0
CUST_000260,Credit Card,380000,12.75,24,Private Sector,200000,,1,36,14057,0.95,1.9,0
CUST_000261,Mortgage,142000,11.44,120,Private Sector,200000,692,3,45,9666,0.071,0.71,0
CUST_000262,Education Loan,790000,13.99,60,,200000,623,0,60,9047,0.79,3.95,0
CUST_000263,Medical,649000,11.22,36,Private Sector,200000,608,1,36,14740,1.0817,3.245,1
CUST_000264,Medical,591000,16.48,180,Government,200000,467,2,55,24843,0.197,2.955,1
CUST_000265,Business Expansion,652000,11.17,60,Private Sector,,696,2,25,11815,0.652,3.26,1
CUST_000266,Medical,386000,15.5,60,Government,200000,543,0,29,515,0.386,1.93,0
CUST_000267,Mortgage,857000,8.54,6,Government,200000,838,1,30,15707,8.57,4.285,0
CUST_000268,Business Expansion,536000,8.11,120,Freelancer,386361.83,725,1,22,18212,0.1387,1.3873,0
CUST_000269,Business Expansion,820000,7.4,36,Private Sector,200000,608,0,41,24868,1.3667,4.1,1
CUST_000270,Vehicle,2147000,15.02,36,Private Sector,431518.12,879,0,23,21792,1.6585,4.9755,0
CUST_000271,Credit Card,612000,9.4,6,Government,200000,,2,45,6169,6.12,3.06,0
CUST_000272,Medical,763000,6.85,24,Government,200000,681,2,29,24098,1.9075,3.815,0
CUST_000273,Medical,341000,14.74,120,Business Owner,200000,721,0,25,20333,0.1705,1.705,0
CUST_000274,Mortgage,938000,16.07,18,Freelancer,200000,677,0,57,7977,3.1267,4.69,0
CUST_000275,Vehicle,652000,13.8,240,Business Owner,316610.4,591,2,49,15618,0.103,2.0593,1
CUST_000276,Vehicle,841000,17.82,6,Freelancer,200000,524,1,21,14020,8.41,4.205,1
CUST_000277,Education Loan,792000,11.75,240,Government,200000,606,2,42,17648,0.198,3.96,0
CUST_000278,Vehicle,762000,11.3,84,Private Sector,200000,717,1,21,2045,0.5443,3.81,0
